event_name,event_time_utc,bar_time_utc,bar_lag_min,close_at_T,ret_1,ret_3,ret_6,ret_12,initial_move,pre_vol,trend_label,trend_strength,dir_ret_1,dir_ret_3,dir_ret_6,dir_ret_12,behavior_6,trend_agrees
FOMC,2024-11-07 19:00:00+00:00,2024-11-07 19:00:00+00:00,0.0,1.07756,0.0006588960243513014,0.001252830468836967,0.001169308437581032,0.0021994134897360545,1,0.0002331879253116518,up,0.0016345257853405126,0.0006588960243513014,0.001252830468836967,0.001169308437581032,0.0021994134897360545,drift,True
ECB,2024-10-17 13:45:00+00:00,2024-10-17 13:45:00+00:00,0.0,1.08229,0.0008130907612562177,0.0005359007290098079,-0.0003603470419202713,0.0001478346838647109,1,0.0006082703247453906,down,-0.00572673677602753,0.0008130907612562177,0.0005359007290098079,-0.0003603470419202713,0.0001478346838647109,reversion,False
BoE,2024-09-19 12:00:00+00:00,2024-09-19 12:00:00+00:00,0.0,1.11544,0.00013447608118777747,-8.965072079238248e-06,-0.0011475292261349313,-0.002035071361973745,1,0.00039844851298795374,down,-0.0018351037950606885,0.00013447608118777747,-8.965072079238248e-06,-0.0011475292261349313,-0.002035071361973745,reversion,False
CPI,2024-10-10 12:30:00+00:00,2024-10-10 12:30:00+00:00,0.0,1.09448,-0.0016263431035742023,-0.00010964110810603938,0.00037460711936263935,-0.0003654703603537351,-1,0.00016664602129895699,down,-0.002746094821255207,0.0016263431035742023,0.00010964110810603938,-0.00037460711936263935,0.0003654703603537351,reversion,True
NFP,2024-10-04 12:30:00+00:00,2024-10-04 12:30:00+00:00,0.0,1.09769,0.00010932048210323311,-0.0010476546201568606,-0.0006741429729704769,-0.0007379132541974303,1,0.00015244737592278343,down,-0.0015627617257746307,0.00010932048210323311,-0.0010476546201568606,-0.0006741429729704769,-0.0007379132541974303,reversion,False
CPI,2024-11-13 13:30:00+00:00,2024-11-13 13:30:00+00:00,0.0,1.06417,7.517595872826518e-05,-0.0012216093293365522,-0.000986684458310228,-0.0031198022872285344,1,0.00018998986771235826,up,0.006093702305705051,7.517595872826518e-05,-0.0012216093293365522,-0.000986684458310228,-0.0031198022872285344,reversion,True
NFP,2024-11-01 13:30:00+00:00,2024-11-01 13:30:00+00:00,0.0,1.08735,9.196670805167516e-05,-0.00023911344093451877,-0.0013703039499701028,-0.0013243205959443673,1,0.0010276343269713013,up,0.0030374777305901546,9.196670805167516e-05,-0.00023911344093451877,-0.0013703039499701028,-0.0013243205959443673,reversion,True
FOMC,2024-12-18 19:00:00+00:00,2024-12-18 19:00:00+00:00,0.0,1.04339,-0.0018497397904906,-0.0011405131350693647,-0.0013321960149129302,-0.005970921707127687,-1,0.0002053248053597164,down,-0.002722860633048607,0.0018497397904906,0.0011405131350693647,0.0013321960149129302,0.005970921707127687,drift,True
ECB,2024-12-12 13:45:00+00:00,2024-12-12 13:45:00+00:00,0.0,1.04963,-0.0007240646704077569,-0.0008764993378619436,-0.0012290045063498693,0.0012671131732132574,-1,0.0003975626845021373,down,-0.00016374776029981497,0.0007240646704077569,0.0008764993378619436,0.0012290045063498693,-0.0012671131732132574,drift,True
BoE,2024-11-07 12:00:00+00:00,2024-11-07 12:00:00+00:00,0.0,1.07631,7.43280281701907e-05,-5.5746021127900906e-05,0.00033447612676637393,0.0014586875528424424,1,0.00016581805158173455,down,-0.0028894591768841016,7.43280281701907e-05,-5.5746021127900906e-05,0.00033447612676637393,0.0014586875528424424,drift,False
