event_name,country,event_time_utc,bar_time_utc,bar_lag_min,close_at_T,ret_6_to_1,ret_12_to_1,ret_12_to_6,drift_dir_6,drift_dir_12,momentum_signal,pre_vol,trend_label,trend_strength
ECB,EU,2025-10-16 13:45:00+00:00,2025-10-16 13:45:00+00:00,0.0,1.16631,0.00020589724011909266,0.0005750085822176007,0.00036903535873663787,1,1,1,0.0001782661170641267,up,0.0012539222363630032
BoE,UK,2025-09-18 12:00:00+00:00,2025-09-18 12:00:00+00:00,0.0,1.18225,-0.00021981924094719007,-0.0008111602125914455,-0.0005914709883479564,-1,-1,-1,0.0002844537276858332,up,0.003093696152317582
CPI,US,2025-10-15 12:30:00+00:00,2025-10-15 12:30:00+00:00,0.0,1.16215,0.00015485203028204312,0.000206480031660287,5.162000791521502e-05,1,1,1,0.00020719468181843172,up,0.0017752195835833984
NFP,US,2025-10-03 12:30:00+00:00,2025-10-03 12:30:00+00:00,0.0,1.17328,3.4089843783324954e-05,-0.000349286943483687,-0.0003833637184577375,1,-1,-1,0.00011250705407985478,down,-0.003962955170948135
CPI,US,2025-11-12 13:30:00+00:00,2025-11-12 13:30:00+00:00,0.0,1.15687,-0.0005528393483405957,-0.0002851341426536169,0.00026785328552279814,-1,-1,1,0.0001718145697118661,up,0.002243699328630333
NFP,US,2025-11-07 13:30:00+00:00,2025-11-07 13:30:00+00:00,0.0,1.15632,0.00042379111422457416,0.0008219628472793085,0.0003980030628932461,1,1,1,0.0001780309163061079,up,0.0030277367732629568
FOMC,US,2025-12-10 19:00:00+00:00,2025-12-10 19:00:00+00:00,0.0,1.16688,-0.0002659049775696564,-0.00030877963426779596,-4.2886060315045726e-05,-1,-1,-1,0.0001635287510884942,up,0.0013127553179543838
ECB,EU,2025-12-11 13:45:00+00:00,2025-12-11 13:45:00+00:00,0.0,1.17344,0.0009302325581395651,0.0010754707318322598,0.00014510319397736685,1,1,1,0.00017577072099922837,down,-0.0008149190227836334
BoE,UK,2025-11-06 12:00:00+00:00,2025-11-06 12:00:00+00:00,0.0,1.15157,0.00030390650099427135,0.000651454480703943,0.00034744238970871815,1,1,1,0.0001540673753846319,up,0.00045632316961552455
CPI,US,2025-12-10 13:30:00+00:00,2025-12-10 13:30:00+00:00,0.0,1.16356,-0.0004725045317480524,-0.00030073637449418074,0.00017184935685376305,-1,-1,1,0.00020910132298116073,up,0.003301611629783041
NFP,US,2025-12-05 13:30:00+00:00,2025-12-05 13:30:00+00:00,0.0,1.16507,4.292471862836935e-05,0.0002490146746922964,0.0002060811100902618,1,1,1,0.00018058663771330477,up,0.006671296300260421
